texto,sentimento
retrato freira ursula burton tempo comovente engraçado tempo tirando sarro freiras igreja,1
procura filme elenco fantástico boa música incluindo versão shirley jones the way elevação fim dar presente tentativa,1
acho ficar desapontado,1
francamente clube algodão unfaithful espécie embaraçoso assistir lane gere filme ruim,0
atuação ruim diálogos extremamente superficial insincera,0
previsível chick flick,0
politicamente correto,0
decepcionante,0
única coisa realmente vale pena assistir cenário casa bonito,1
amo pista nunca vi filme mau,0
hora meia gostaria poder trazer volta,0
termos escrita fresca negrito,1
atuação ajuda escrita dão bem talvez irmã idiota-savant jogado melhor verdadeira alegria assistir,1
direção cinematografia tão bons,0
filme tão chato vezes encontrei-me ocupado pico papel vez assistir nunca aconteceu filme columbo antes,0
vezes tão embaraçoso desviar olhar,0
direção parece demasiado pretensioso,0
cenas oh-so-amadurecer vizinho menina misplace,0
geralmente linhas enredo fraco episódio média,0
então cena debatido demitir trompetista falsamente acusado assassinato puro horror realmente estúpido,0
aplausos dada prelúdio entanto,1
realmente gostei,1
grande filme grande diretor,1
filme tinha-lo borda assento fez-lhe medo ir carro final noite,1
música filme bom também,1
aconselho ir vê-lo,1
brilhante,1
10/10,1
gostei maneira filme muito,1
único problema pensei ator interpreta vilão aluguel baixo michael ironside,0
balançou mundo certamente ver saídas sociais físicas,1
entanto fez fato geral filme tremendamente chato,0
havia química ben affleck sandra filme conseguia entender consideraria deixando esposa-a-ser garota supostamente nocauteado,0
momentos filme simplesmente precisa estar lá dolorosamente lentos,0
remake pobre melhores amigos,0
grande decepção,0
acreditar atores concordaram fazer filme,0
estar vê-lo tempo medo perder qi,0
acho rede ar drible assisti-lo antes colocá-lo,0
classificações imdb única ir tão baixo horrível hora obter números negativos lá casos estes,0
vi mirrormask ontem noite experiência insatisfatória,0
infelizmente inexperiência direção significava cena cena passou pouco forma tensão dramática conflito,0
temas centrais filme tratados ineptly estereotipada profundidade imaginação,0
fotos bonitas mundo fazer-se peça trabalho falho núcleo,0
hora meia desperdício tempo seguindo monte bonito estudantes ensino médio chorar vida,0
relacionar inferno mal consegue entendê-los,0
definitivamente clássico cult vale bem visualização partilha outros,1
filme desastre puro história estúpido edição pior visto confunde incrivelmente,0
peixe mal feita fotos subaquáticas repetidos milhares vezes filme,0
verdadeiramente verdadeiramente mau filme,0
atuação terrível escrita pior,0
única maneira possível filme resgatado tão mst3k forragem,0
paguei muito,0
além verdadeiro deleite ver anthony quinn jogo crazy,1
tão chato,0
enredo,0
novamente parcela,0
horrível,0
hora meia vida deus,0
sair teatro minutos apenas obter alívio,0
odeio filmes,0
sim filme praticamente sugado,0
enredo storyline,0
ver filme trazer travesseiro namorada namorado mantê-lo ocupado fora,0
horrível,0
acho ido filme gostava tanto,0
coisa boa bilhetes custam apenas louco pago us ver porcaria,0
identifica personagens recortes papelão estereótipos previsivelmente reversa estereótipos,0
filme ruim má escrita bons atores desenho feio trabalhada paul haggis pessoas lidar coisa pinceladas ousadas narrativa quadro pintado lápis cor,0
bater pouco deprimente provoca emoção ensina-lhe sabe racismo eo preconceito coisas ruins,0
ainda assim gosto filme empoderamento mulheres filmes suficientes lá,1
cérebro tentar shut-down parte impulso primitivo auto-preservação,0
ficou abalada experiência assistir filme dei boa horas recuperar totalmente,0
filme agora junta revenge of the boogeyman zombiez parte trindade infernal filmes terror,0
certamente quero dizer distinção bom caminho,0
quero dizer maneira terrível,0
filme características redentoras,0
terrível,0
artless câmera trabalho infinitamente apresenta feio imagináveis ​​configuração,0
história além estúpido,0
roteiro péssimo script,0
crianças irritantes,0
homem chumbo livre carisma,0
totalmente mérito nível semelhante tortura,0
dizer novo tortura,0
talvez explicação razoável atrocidade,0
viagem agradável auto-descoberta,0
altamente unrecommended,0
som estúpido é,0
sim assim tão mau,0
recomendar,0
excelente desempenho sra garbo mostrou logo cara talento transitar silenciosa queria ver trabalho silencioso netflix ser armazená-los,1
ver renomado roteirista silenciosa frances marion perdeu passo silêncio som,1
filme sofreu causa escrita precisava suspense,0
havia close-ups,0
diferente filme arrastar heróis realmente trabalho liberdade,0
filme definitivamente renda abaixo média,0
adorar,1
filme ruim,0
tão ruim,0
filme caminho longo,0
definitivamente maus,0
filme grande filme qualidade idade,1
john wayne fez trabalho incrível ser tão jovem indústria cinema,1
presença tela brilhou pensou atores seniores tela,1
acho ver antigo filme john wayne,1
realmente vejo apreciar filme,0
acho vi meia filme tão chato peça auto-indulgente lixo,0
provavelmente sido melhor diretor passado maior parte filme apresentando própria obra arte realmente tão notável,0
coisa realmente gosto personagem levou soco rosto galão sangue vomitar logo depois,0
jamie foxx absolutamente charles,1
desempenho simplesmente genial,1
dono filme assim spacek propriedade filha mineiro carvão quaid propriedade great balls of fire,1
verdade difícil lembrar parte ray charles deliberado jogado próprio homem,1
ray charles lendária,1
vida charles forneceu excelente material biográfico filme além ser apenas filme músico,1
hitchcock grande diretor,1
ironicamente principalmente encontrar filmes total desperdício tempo assistir,0
lugar hitchcock praticamente aperfeiçoou suspense filme perseguição,1
pandering público sabotagens filmes,0
aí história carece energia,0
enredo simplesmente burburinhos máquina desesperadamente dependendo adição novas cenas,0
existem habituais falhas lógicas hitchcock,0
mishima extremamente desinteressante,0
fria filme normal autor estar trabalhar frio abstrusa cultura,0
reconstituições planas prenda atenção emocionalmente deriva stagy,0
resto fica lá ser terrível soldados cantando músicas masculinidade comprometem hairsplitting pureza admiração espadas etc,0
aborrecê-lo pedaços matar ímpeto filme rápido pessoa,0
feito resumo completo mau filmes amadores,0
assisti filme adorei,1
totalmente fascinado música dança,1
entanto recentemente assisti coisa novamente dvd completamente impressionado forma extremamente estúpido enredo continha buracos inconsistências francamente monte porcaria horrível dança era,0
quero dizer mundo realista nunca chegado repertório ballet coisa bastante patético,0
desenvolvimentos caráter faltava profundidade,0
woa conversa horrível,0
perca tempo,0
horrível,0
diálogo pior sappiest continuar,0
realmente feitas unwatchable direção,0
atores pobres,0
sequer dizer têm talento têm linhas patéticas falar diretor deu ação,0
verificar filme diretor site ver filme chance,0
bom feito filme,0
boas intenções fez grande filme então filme ser maiores filmes feitos,1
filme grandes atores diretor mestre tema importante menos suposto tema significativo tom cinquenta existencial cansaço mundo cenas aéreas emocionado sentidos imaginação personagens profundamente importa,1
infelizmente filme falha,0
filme carece interesse visual drama expressão sentimento celebração patriotismo sublinha narrativa,0
atriz pior usadas junho allison filme,0
entanto gosto vê-lo,1
infelizmente filme ruim apenas má simples,0
roteiro ruim mau direção atuação horrível fazem mau liso,0
diálogo sugado,0
cinematografia-se chamado assim-sugado,0
trilha sonora sugado,0
atuação sugado,0
seqüências concertos apenas sugou,0
legal,1
engraçado,1
tão engraçado,1
geral filme lixo barato,0
filme engraçado considerando ridículo,0
i sentindo raiva,0
spoilers quer pode dito superfície soberbamente trabalhada,1
cinematografia simplesmente deslumbrante dizer eo fx state-of-the-art,1
conceitualmente mostra oferece tudo-e praticamente pais crianças fantasia fãs,1
havia única nota azedo atingiu agindo-sábio tampouco elenco surpreendentemente sólido aqui,1
considerado trabalho bem feito,1
graças bom filme feito liberado,1
melhores filmes mexicana sempre menos compreendidas mexicana importa quão identificou sentido,1
ocupa lugar destacado grande noir-crime-drama performances incríveis belmondo lino ventura,1
atenção dada personagem retratos psicológicos complexos detalhando lealdade traição amor esperança tremendas,1
excelente drama excelente suspense excelente filme,1
lá melhor melville,1
filme simplesmente incrível,1
realmente aproveitar viagem através olhos alma criança,1
água preta thriller consegue transcender completamente limitações filme indie subverter continuamente expectativas emergir experiência intensa,1
performances reais emocionante extremamente bem feito fato site water acreditado usaram crocs reais localização pântano fabuloso,1
desfrutamos christopher eccleston assumiu controle continuação série,1
certeza tentando fazer filme,0
transformar sentimento bom dia noite memórias perturbadoras acho conseguiu,0
monte lugares bonitos,1
forçado filme,0
vez coxo,0
aqui onde filme realmente pi ed fora,0
sequer fale camerawork jerky,0
vi teatro pensei ficar doente,0
resumo chistes espirituoso,0
trama bem disse deixar passar,0
atuação ruim,0
ruim,0
billy bob subir acima script pior,0
camerawork novamente ruim,0
avaliação out of,0
final incrível possivelmente melhor trilogia tempos,1
kieslowski nunca deixa surpreender,1
diretores favoritos maioria diretores talentosos cinema,1
uso cores bandeira francesa nada menos incrível tiro cena obra arte,1
visualmente atraentes vi,1
conexões sutis impressionantes,1
falar grande spoiler amei final personagens sobreviventes desastre balsa valentine eo jovem juiz juntos velho vê-lo tv solidificando felicidade sofrimento lidou anos,1
conseguia pensar maneira terminar filme sorriso rosto ótima maneira encerrar filme incrível trilogia,1
recomendo ama filme filmes coisa obra arte,1
filme trilogia,1
literalmente vomitou enquanto assistir filme,0
acho pessoas encontraram pérolas roth,1
desempenho premiado impressionante,1
história contada forma tão eloquente francis ford coppola antes realmente desenrola gradualmente sala folhas personagens desenvolver,1
local maravilhoso encontra-se história contraste,1
filme dirigido bonita roeg nicola wih elenco sublime,1
traduzindo filmes vida primeiro filme experiência trabalho achei ofensiva inteligência,0
esforça grandeza poesia oferece história confusa vezes ridículo monte cenas diferentes diálogo pretensioso então começa pior tipo filme usuário definido precisão pretensioso porcaria,0
acham filme inteligente magistral dizer inteligência imaginação obviamente usado tentar fazer sentido tentativa lamentável é natureza humana tentar fazer sentido coisas,0
coisa tolerar incorreção política bem liberdade artística suspensão descrença personagem feminina eslava demais,0
tão divertido filme engraçado,1
altamente entreter ângulos,1
apresenta matriz estranha porcas marcantes psicóticas amáveis,1
então prazer vê-los correr jogar jogos ser perigoso,1
ainda momentos doces,1
homem reparação telefone engraçado reações patrão nozes mal-intencionado verdadeiramente genuíno,1
personagens filme tremendamente bem jogado,1
realmente encontrá-los engraçado,1
realmente filme inteligente,1
brilhante final torção,1
amo,1
final tão tão perfeita derramar lágrima,1
tão excitado ver filme,1
nunca esquecer agora,1
apenas culto clássico cult,1
profundidade caráter homem debaixo,0
configurações malta tão seco tão estéril diálogo,0
filme terrível,0
cenas hóquei terríveis jogando idade goleiros mergulho tiros largura rede etc,0
ainda viu perca tempo,0
chamar filme drama ridículo,0
começou assistir acreditava personagens,0
particular relação assistente padaria garçonete simplesmente funciona mim,0
filme superficial deu sensação assistindo jogo filme,0
personagens teatral história parecida farsa palco,0
momento piromaníaco waylaid assistente entediado aconteceu seguida então desligado,0
feliz pagar ver,0
rir sorrir vez,0
nada apenas grande bocejo,0
realmente bom show assistir,1
educativo crianças idade,1
barney definitivamente super-de duper,1
engraçado,1
babie bop bonito,1
crianças legal também,1
storm trooper sequer ruim torná-lo lista filmes maravilhosamente terríveis,0
apenas coxo,0
cara disse melhor diálogo vasos plantas direito,0
filme estúpido,0
ama filmes ruins assistir filme,0
vergonhoso,0
quero dar série televisão pudesse,1
escritores bem acho melhores atores atrizes bônus personagens show.these tão real,1
dizer gravado maioria episódios encontro-me observá-los vez,1
agora sabe,1
sei exatamente filme agarrou filme cativante tornou-se parte especial memórias família,1
total absolutamente recomendar filme gosta bons filmes família saudável exatamente,1
coisas crianças metem absolutamente hilariante assistir,1
melhores filmes lá fora mostra forte vínculo irmão outro,1
interessante ação suspense menos controvérsia desnecessária,1
atuar cinematografia sólido,1
definitivamente vale pena conferir,1
damian tão talentoso versátil tantas maneiras escrever interpretar personagens tela,1
filme aresta corte ela,1
tão contente saber moderno gênio dia lá fora deixando paixão arte levá-lo tomar-nos audiência,1
novos personagens tão memorável encontrei-me esquecendo,0
senti irlanda fez absolutamente seja,0
fez medo horrorizado fazer-me solidário personagens simplesmente irritante,0
movimentos câmera bruscos irritante,0
enredo praticamente horror barato,0
tentativas patéticas dar personagens profundidade deu resto trama,0
acho ser toque inteligente seguida lançar luz situação simplesmente estúpido,0
vê-lo provavelmente apenas deixá-lo prateleira,0
elias koteas jack palance papéis jogar bem angelina quente fica drago aparece legal costume + cameo sven thorsen ajuda tornar filme agradável boa atuação orçamento decente,1
filme tão impressionante ebay,1
realmente amei linha história urso poler pergunta fort steele basta perguntar afastado,1
filme totalmente graça tão cima patético irrealista tortura absoluta provavelmente olhou relógio vezes,0
lucy bell maior afundar baixa bastante deprimente,0
filme faz deixá-lo doente assistindo folgados dar desculpas ações estúpidas,0
deus nunca obter volta,0
acho peças maravilhosas maioria literalmente cheio trechos obras,1
conjuntos especialmente projetado trabalhar câmera incrível estilizado bonito eficaz,1
usados ​​como exemplos designer set,1
histórias explorações poderosos natureza homem arte,1
assistir filme queria aprender obras artista,1
recomendo filme pessoa interessada arte poesia teatro política história japonesa,1
aqui vento leão vemos rendição maravilhosa própria idade imperial américa,1
torna história diferente valores produção fabulosa fotografia impecável composição edição elenco fantástico subvalorizado brian keith jogando valentão teddy história viva,1
vento leão contada grande parte através olhos filho membro família identificar-se personagens bandido nobre sean connery heroína mal-humorada candice bergen john huston astuto john hay steve kanaly spiffy radiante implacável can-do tenente roosevelt,1
grande aventura melhor,1
acho ryans melhor filme retratou alguém pai esquizofrênico vida real pai nunca matou ninguém afetada segunda guerra mundial fez pior,1
ter humor sobreviver passar dia tão apt,1
mãe irmão fazer vi ryan retratar tipo homem boa imitação tipo indivíduo impressionado,1
quase músicas cover girl antiquado melodioso,0
coisa irritante cover girl maneira rita hayworth colocado pedestal,0
infelizmente cover girl exemplo hollywood usada explorar mulheres ganho financeiro,0
narração não-linear assim flashbacks partes articulam bem,1
boa fotografia faz monica bellucci bonita,1
bom comentário amor hoje dúvida pena filme vendo,1
pessoas iniciantes cinema acho fizeram excelente trabalho,1
popular cinema boa casa boas reações muitas risadas,1
filme bem-estar assim senti cinema,1
humor norte positiva comunidade representa,1
prefiro gostei,1
gostei,1
poderia levá-los sério,0
realmente criado sensação única,1
vivian schilling fez excelente trabalho script,1
mundo melhor lixo cinemas hoje,1
papel jogado bem,1
screamy masculino apenas direita,1
câmera realmente gosta filme,1
escalado papel pronto roteiro,1
europeu filme bom retrocesso tempo estudante década experiências vivem exterior interagir nacionalidades circunstâncias ligeiramente diferentes,1
fã filme sugado realmente ruim,0
ainda pior ticker,0
filme ruim,0
apenas utilizados par locais talvez & poor hummh,0
explodiu,0
filme excelente angel linda scamp adorável pequenos gritos hes scared partes engraçadas quando preso cortina angel cantando nunca sensação before.i recomendo totalmente filme vinda edição especial cobertura junho 20.o scamp lata lixo angel debaixo tampa,1
explicar filme romântico charmoso divertido adorable.the cenas ferro-velho engraçados cães ferro-velho ter special.too engraçado ri crianças adorar it.buy-lo sai novas características,1
agora escolhidos torturado peça nojento propaganda americano flagrante,0
show feito americanos estúpido cheio ódio clichês admitido lugar,0
quase envolvidos retorno escola agir totalmente previsível ruim script pilha lixo,0
gostaria poder entrar valores negativos administradores,0
conjuntos tão ruins pareceria lugar episódio thunderbirds,0
uso câmera lenta desnecessariamente repete longo filme bem apoiada atuação ruim ruim palavra amável aqui continuidade cenas jogados razão veículos feitas partir caixa flocos milho estilo direção beirava estupidez,0
oh sim enredo patético também,0
odeio escrever comentários ruins filmes especialmente realmente gosto estrela filme tão ruim acredito sido orgulhoso,0
cineasta diretor gostaria esconder cabeça areia passado quantidade tempo dinheiro filme,0
suma desperdício monumental tempo energia recomendo ninguém ver nunca filme,0
veio livre leitor dvd comprei ainda virou coisa meio envergonhado howell,0
1/10 definição,0
premissa interessante billy drago sempre bom perigoso porca-bag nota lateral adoraria ver drago mchattie filme juntos falar furiosa maçãs rosto,1
trilha sonora terrível um,1
atuação profissionais drago debbie rochon terrível dirigir pior talvez contribui primeiro chimpanzé-like trabalho câmera diálogo apenas tolerável,0
ainda assim jogos grande escala oy-vey,1
sim simplificando coisas aqui prol brevidade realmente cerne problemas filme coisa acontecendo real cumprindo explicação,0
fazem bons empregos bastante divertido,1
trama complicada apenas convenceu grande parte filme assistido olhar interrogativo estranho,0
deixei namorada talk-me ver má idéia odiava,0
últimos filme ruins também,1
bela lugosi totalmente estranho intoning linhas ímpares,0
atuação decididamente madeira filme época universal b.,0
armand assante & resumo empresa cabo pareceu interessante então assisti-lo vezes provavelmente novamente,1
acredito roteirista fez bom trabalho amarrar pontas soltas,1
pontuação 8/10 principalmente enredo,1
dizer gosto então quero ser acredito filme vale pena tempo,1
uau filme ruim,0
assustador mínimo difícil compreensão,0
enredo ficar juntos qualidade absolutamente chocante,0
bom valor acampamento,0
esperando material oscar,0
ter qi molusco particularmente estúpido ver vinda,0
filme uso palavra vagamente insulto público ir cinema,0
apenas envolvido soube encadear narrativa,0
fica simplesmente baixa,0
tenho assisti-lo recentemente fox movie channel decepcionado,0
sei jogador contrato pouco controle roteiros atuação tão ruim quanto script,0
victor mclaglen ruim brian donlevy quase irreconhecível,0
considerando relações tela taylor stanwyck surpreendente quão pouco química havia tela,0
premissa filme tão ridículo presidente eua,0
cenas corredor morte totalmente imóvel,0
única coisa pior atuação taylor canto stanwyck,0
produtor indo perdeu completamente,0
fiquei profundamente impressionado personagem interpretou,1
sabia vi filme grandes coisas partir talentoso ator,1
filme roubo barato triste má caracterização estóico estilo underbite emoting acho chow yun fat tomorrow clichês queijo atirado fábrica abandonada pronto mal executados voando rolos judô john woo,0
squibs horrível,0
momento processo remotamente américa,0
trama está então derivado previsível final matança mercê,0
diálogo terrível exagero desesperada receberem topo rematar verdadeiro desperdício espaço tempo,0
desconfortável quão ruim filme foi assustou todos,0
diálogo composta coisas fazem pouco sentido,0
cerca imagens desperdiçado mostrar atores idosos medíocres desajeitadamente balbuciando overwrought pseudo-satânico jargão piegas suficiente fazer adolescente goth blush quase sempre olde inglês vezes latim feitas palavras,0
direção desleixado melhor hipóteses,0
escrita banal certamente ainda pior má direção,0
claro qualidade blah,0
atuação elenco colocado escala perfeitamente equilibrado exagerando underacting,0
finalmente chegamos final sido ótimo sido tratado pessoas competentes jerry falwell,0
amei filme grande retrato família quota altos baixo-lo final sabiam amor especial outro,1
visto filmes estrelado jaclyn smith deus melhores saiu,1
filme continha elenco estrelas amei abriu olhos ver atores visto antes,1
filme espécie longa duração gostei minuto,1
taxa global filme escala 1-10,1
lifetime ar-la suficiente então sabe vende-lo deixe-me saber must-have,1
lembro-me especialmente sentidos agredido cabos estridentes música iria blare pouco aviso ainda menos significado,0
exatamente tipo pap exibido período tarde punir desempregados ter emprego,0
totalmente diferente cargas eufemismo humor get filme ver lembrar,1
filme cria próprio universo fascinante sentidos,1
filme realmente mim,1
veja,1
realmente espero equipe trás filme faz filmes continuar fazê-lo próprio estilo meio estranho,1
esqueci fundição aqui soberbo trond fausa aurvåg ser perfeito papel homem bothersome entende onde está fazendo,1
filme comentário bom bem-humorado vida,1
mover bonita agradável edificante,1
inicialmente sites locais filme filmado aqui buffalo intrigou,1
tarde encontrei-me perdido poder filme,1
público aplaudiu final filme,1
teatro cadência passo alegria coração esperança raça humana,1
duris aparência saudável dá bom desempenho,1
resto elenco jogar bem,1
cinematografia notável incluindo belas vistas barcelona famosas torres gaudi,1
cerca filme segundos pensamentos,0
meio filme comecei gostar,0
filme acabou gostava desprezava,0
filme roteiro convincente,0
roteiro parece apenas rascunho escrito tiroteio começou antes roteiro final concluída,0
coisas acontecem mudança personagens personalidades reviravoltas ocorrer razão real além chamadas script,0
elenco bom,1
vale pena conferir,1
provavelmente show irritante vi vida,0
indescritível show chato idiota vi,0
apenas ruim,0
conseguia entender tipo idiota produzir bagunça primeiro lugar mencionar temporada,0
roteiro ruim ruim contém piada antiético normalmente vê nominal filme nc-17,0
elenco horrível vê actors realmente ruim período,0
palavra final show verdadeira tortura,0
zilhão vezes longe realidade,0
assistindo twirling máquina lavar roupa torno ferir olhos tanto quanto show,0
rating grau z nota show tão ruim elenco puxe filha show,0
century fox road house apenas bom noir bobagem furo absoluto implausível filme,0
cheio personagens papelão pouco convincentes suavemente escrito edward chodorov produziu surpreendentemente dirigido jean negulesco esperar mais,0
partir aqui caráter voltas widmark involuntariamente cômicos,0
perdendo juízo tão cedo processo totalmente implausível pouco convincente,0
confusão filme imagem marcado uso constante aparelhos exteriores interiores,0
solicitado documentário,0
spoilers graves filme enorme decepção,0
problemas onde começar,0
elenco ótimo,1
steve martin oferece desempenho engraçado classe superior meia-idade cara branco tenso,1
adicionar betty jean smart grande elenco desempenharam peças bem,1
filme faz monte erros graves,0
primeiro existem estereótipos raciais piadas raciais ofender,0
filme cheio insultos raciais evidentes elenco preto troca brancos retratados idiotas mamas,0
colocando carta raça parte olhar grande falha filme destroem caráter latifa,0
conspiração real,0
tomaria ver filme novamente forma gratuita,0
vapor willie filme incrivelmente importante história cinema,1
segunda aparição mickey mouse seguindo plano silenciosa louco início ano provavelmente famoso filme principalmente tão inovador,1
enquanto ainda ouvir mickey falar toneladas efeitos sonoros música longo filme concedido agora enorme prazer,1
entanto ver curto novamente cerca espantado forma atemporal filme realmente é,1
simplesmente adorável vendo mickey jogo the straw forma altamente imaginativa ocasionalmente cruel,1
inteligente multidão-pleaser verdadeiro filme ainda melhores filmes mickey maravilhosos,1
bipolaridade matador implacável minuto assassino implacável minuto seguinte comercial luv convincente completamente,0
terrivelmente decepcionado filme receberia prêmios elogios especialmente obras merecedoras filme lá fora,0
corpo original soul obra-prima,1
john garfield anne revere lilli plmer william conrad canadá lee filmado maiores cineastas sempre graça screen james wong howe,1
acho existem qualidades redentoras remake,0
ser único mau filme fez,0
tão ruim bem ruim,0
filme sólido exemplo enredo ruim muito má ideia caminho,0
vergonha ver bons atores thomerson ganhar vida confusão,0
pensei,0
filmes terríveis crédito versão 1986 assistível,0
começar problemas atuação especialmente professor chumbo muito ruim,0
roteiro grande confusão falho,0
melhor exemplo mudo escrita estabelecido transformar zumbis-alunos volta seres humanos através remoção colar contendo pedaço meteorito,0
diretor paul matthews escreveu dirigiu fraco filme monstro 1995 grim claramente sabe andar filmes,0
filme terrivelmente chato lugares,0
iluminação horrível,0
filme parece barato graça,0
aspectos decepcionantes falta notável gore,0
convenção nunca funcionou bem passado certamente funciona aqui,0
efeitos visuais horrível,0
seqüência abertura espaço criado microsoft slideshow amor,0
explosão reservatórios gás final tão horrível,0
ok gosto considerar crítico justo então dar crédito onde crédito devido efeitos criaturas realmente legal,1
conseguiu amar closes viscoso babando dentes,1
resumir filme breeders terrível filme terror feito barata evitados vírus ebola,0
recomendado,0
quase insuportável assistir tela pouco carisma terrível timing cômico,0
além terrível chumbo filme infinidade débitos,0
entendo suposto ser comédia pipoca barato significa insultar completamente inteligência escrito tão incrivelmente faz fronteira ofensiva,0
considerável talento lewis black desperdiçado aqui também desenfreada classificação pg-13 certamente permitir,0
único ponto brilhante filme jonah hill ficar quase irreconhecível fãs recente superbad devido quantidade peso perdeu ínterim,1
originalidade frescor primeiro filme passou remake pouco oferecer,0
orçamento evidentemente limitado,0
refletiu elenco script abaixo-par emprestado início clássico,0
entanto aqui havia decente atuação ação local trabalho equilibrar coisas,0
filmiing menos expansivo,0
conseguiu transmitir ampla extensão paisagens grande parte original,0
geralmente apenas carecido imaginação,0
recomendado,0
possível filme ficar pior,0
enredo aqui mantê-lo primeiro lugar,0
mulheres finalmente aparecer sinais melhoria coisas esperados acontecer tempo filme longo sono,0
cuidado filme cult trashy lixo -period,0
acreditar sequer sequela,0
precisamente dando-lhe revisão ruim,0
ser criança anos realmente show dizer orgulho grande tempo ainda caricaturas clássicos,1
tiny toons manteve vibração anos entregou populares desenhos animados engraçado subestimado criados,1
memórias obscuras dizer episódio produto relacionado show,1
facilmente banda desenhada fez rir forma suave antes entrar sitcoms escuras orientados adolescentes,1
personagens engraçado peculiaridade ter verdadeiro personagem principal,1
personagem hilariante merecia chamado chumbo,1
elemento história tão cima falso excessivamente artificial doloroso sentar-se através,0
linhas escrito idade tentando tão tão difícil som realmente hum sabe bem falar,0
perabo nível energia agradável é obviamente confortável frente câmera,1
simplesmente desculpa mal feito,0
vi filme filme estúpido,0
ainda estúpido pensado idéia haver vulcão,0
